epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11810.7,0.36701,0.32129,0.97767,0.9367,0.95801,0.97801,0.95188,0.25903,0.20595,0.85821,0.005842,0.005842,0.005842
44,12090.1,0.36499,0.31402,0.9718,0.96241,0.9457,0.97987,0.95462,0.24836,0.20009,0.85315,0.005743,0.005743,0.005743
45,12350.2,0.35598,0.31302,0.97007,0.95896,0.9582,0.97792,0.95294,0.25054,0.19401,0.85603,0.005644,0.005644,0.005644
46,12627,0.36126,0.30932,0.9725,0.95607,0.95409,0.98023,0.94672,0.27535,0.20402,0.86989,0.005545,0.005545,0.005545
47,12888.5,0.34794,0.30817,0.96675,0.96257,0.94883,0.97895,0.9515,0.25154,0.19468,0.85288,0.005446,0.005446,0.005446
48,13167.6,0.34849,0.3099,0.966,0.94965,0.96598,0.97787,0.95314,0.2519,0.18981,0.85191,0.005347,0.005347,0.005347
49,13429.4,0.3466,0.28856,0.96061,0.96296,0.94681,0.97629,0.94953,0.25151,0.19393,0.85305,0.005248,0.005248,0.005248
50,13711.4,0.33948,0.29454,0.95891,0.95243,0.94917,0.97442,0.94909,0.25182,0.20508,0.85229,0.005149,0.005149,0.005149
51,13972.8,0.3509,0.29221,0.96103,0.95206,0.96356,0.98013,0.95257,0.24748,0.19131,0.85182,0.00505,0.00505,0.00505
52,14246.7,0.34446,0.30185,0.9593,0.95143,0.96453,0.97766,0.95291,0.24217,0.19261,0.84807,0.004951,0.004951,0.004951
53,14514.4,0.33915,0.28809,0.95736,0.96132,0.96325,0.9786,0.95612,0.2374,0.18554,0.84594,0.004852,0.004852,0.004852
54,14791.5,0.35873,0.30417,0.97224,0.96351,0.96218,0.98104,0.96077,0.23527,0.18182,0.84124,0.004753,0.004753,0.004753
55,15057.9,0.34323,0.29238,0.96325,0.96199,0.96638,0.9775,0.95976,0.23491,0.17536,0.84229,0.004654,0.004654,0.004654
