Class,Precision (查准率),Recall (查全率),F1-Score,Support (样本数)
Bus,1.0,1.0,1.0,101.0
Microbus,0.9406,0.9548,0.9476,199.0
Minivan,0.9388,0.9293,0.934,99.0
Sedan,0.9974,0.9831,0.9902,1184.0
SUV,0.9298,0.9707,0.9498,273.0
Truck,0.9571,0.975,0.9659,160.0
Macro Avg,0.9606,0.9688,0.9646,-
