Class,Precision (查准率),Recall (查全率),F1-Score,Support (样本数)
Bus,0.9902,1.0,0.9951,101.0
Microbus,0.9635,0.9296,0.9463,199.0
Minivan,0.9592,0.9495,0.9543,99.0
Sedan,0.9923,0.9823,0.9873,1184.0
SUV,0.9069,0.9634,0.9343,273.0
Truck,0.9691,0.9812,0.9752,160.0
Macro Avg,0.9635,0.9677,0.9654,-
