Class,Precision (查准率),Recall (查全率),F1-Score,Support (样本数)
Bus,0.9902,1.0,0.9951,101.0
Microbus,0.9592,0.9447,0.9519,199.0
Minivan,0.92,0.9293,0.9246,99.0
Sedan,0.9957,0.9789,0.9872,1184.0
SUV,0.8953,0.9707,0.9315,273.0
Truck,0.962,0.95,0.956,160.0
Macro Avg,0.9537,0.9623,0.9577,-
